标题,地址,户型,关注,总价,均价,房源标签,房源链接
畅想花园式小区生活端头两房住宅厅出大阳台看小区花园,金地名津  | 2室1厅 | 57.96平米 | 西北 | 精装,低楼层(共32层)2007年建板塔结合  -  皇岗,63人关注 / 共58次带看 / 3个月以前发布,360万,单价62112元/平米,距离4号线(龙华线)福田口岸站506米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101012897.html
上水径地铁口  万科物业 朝南采光视野好 税费少保养好,中海怡翠山庄一期  | 2室1厅 | 64.34平米 | 东南 | 其他 | 无电梯,中楼层(共7层)2000年建塔楼  -  布吉水径,13人关注 / 共40次带看 / 2个月以前发布,275万,单价42742元/平米,距离5号线(环中线)上水径站1187米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101047660.html
为您寻找的一处都市世外桃林，大阳台养花种草打太极，,万科金域华府  | 3室1厅 | 89.01平米 | 东 | 精装,低楼层(共34层)2010年建板塔结合  -  深圳北站,18人关注 / 共32次带看 / 1个月以前发布,765万,单价85946元/平米,距离4号线(龙华线)白石龙站123米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101093969.html
南联地铁口 标准2房 带装修有生活阳台 诚意出售,远洋新干线一期  | 2室1厅 | 46.75平米 | 南 | 其他,中楼层(共32层)2015年建板塔结合  -  中心城东,207人关注 / 共40次带看 / 2个月以前发布,135万,单价28878元/平米,距离3号线(龙岗线)南联站520米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101059048.html
阳光四季 3室2厅 830万,阳光四季  | 3室2厅 | 116.04平米 | 南 北 | 简装 | 有电梯,中楼层(共30层)2000年建板塔结合  -  石厦,71人关注 / 共184次带看 / 10个月以前发布,830万,单价71528元/平米,距离3号线(龙岗线)石厦站656米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100652159.html
长城一花园南北通两房 有钥匙随时看房,长城花园  | 2室1厅 | 85.3平米 | 南 北 | 其他 | 有电梯,高楼层(共15层)1989年建塔楼  -  百花,27人关注 / 共73次带看 / 3个月以前发布,690万,单价80891元/平米,距离3号线(龙岗线)华新站878米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101024418.html
锦上花家园方正实用两房，高层，通风采光好,锦上花家园  | 2室1厅 | 58.29平米 | 东 | 简装 | 有电梯,中楼层(共32层)2003年建板塔结合  -  黄贝岭,29人关注 / 共65次带看 / 5个月以前发布,300万,单价51467元/平米,距离9号线文锦站690米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100933846.html
梅林一村三区方厅 楼下公园门口 出行便利诚心卖,梅林一村三区  | 3室2厅 | 89.8平米 | 北 | 其他 | 有电梯,低楼层(共32层)2002年建板塔结合  -  梅林,44人关注 / 共105次带看 / 4个月以前发布,565万,单价62918元/平米,距离9号线下梅林站493米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100978712.html
皇庭世纪 高层景观房 满五年 户型方正 交通便利,皇庭世纪  | 2室2厅 | 56.39平米 | 北 | 其他 | 有电梯,中楼层(共32层)2004年建塔楼  -  石厦,32人关注 / 共104次带看 / 3个月以前发布,405万,单价71822元/平米,距离7号线皇岗村站696米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100988598.html
新世界家园 温馨三房两卫 安静看花园诚意出售红本在手,新世界家园  | 3室2厅 | 92.13平米 | 北 | 其他 | 有电梯,高楼层(共29层)2004年建板塔结合  -  梅林,50人关注 / 共70次带看 / 4个月以前发布,540万,单价58613元/平米,距离9号线梅村站363米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100944986.html
海印长城 全南向5房 满五V一 看小区花园 老业主委托,海印长城  | 5室2厅 | 176.26平米 | 南 | 精装 | 有电梯,高楼层(共22层)2003年建板塔结合  -  南山中心,13人关注 / 共5次带看 / 10个月以前发布,1800万,单价102122元/平米,距离11号线南山站1101米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100658466.html
金地梅陇镇大社区，社区环境好，住家氛围浓厚 户型正,金地梅陇镇一期  | 4室2厅 | 108.56平米 | 南 北 | 简装 | 有电梯,中楼层(共24层)2006年建板楼  -  深圳北站,0人关注 / 共0次带看 / 29天以前发布,620万,单价57112元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101135285.html
南头 花园式社区，南北通透大四房,南山豪庭  | 4室2厅 | 123.53平米 | 南 北 | 精装 | 有电梯,高楼层(共18层)2004年建板塔结合  -  南头,1人关注 / 共0次带看 / 29天以前发布,1280万,单价103619元/平米,距离1号线(罗宝线）大新站1061米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101136375.html
五园联排别墅 精装修，业主自住保养好，满五年红本,万科第五园二期  | 5室2厅 | 187.25平米 | 南 | 精装 | 无电梯,1层2006年建  -  坂田,7人关注 / 共0次带看 / 25天以前发布,1500万,单价80107元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101142251.html
宁水花园标准两房，满五年唯一住宅，带平台花园,宁水花园  | 2室1厅 | 81平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1988年建板塔结合  -  黄贝岭,3人关注 / 共0次带看 / 24天以前发布,400万,单价49383元/平米,距离5号线(环中线)怡景站1075米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101144003.html
花园小区，三层复式，装修精美温馨居家，安静优雅。,桃源居五区  | 5室2厅 | 168.87平米 | 南 北 | 精装 | 有电梯,高楼层(共5层)2002年建板楼  -  桃源居,5人关注 / 共0次带看 / 23天以前发布,700万,单价41453元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101145244.html
润府一期 166平高品质大四房 看房有钥匙 满两年诚心卖,华润城润府一期  | 4室2厅 | 166.02平米 | 东 西 | 毛坯,中楼层(共56层)2016年建板塔结合  -  科技园,5人关注 / 共1次带看 / 11天以前发布,1600万,单价96374元/平米,距离1号线(罗宝线）高新园站221米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101162999.html
金叶茗苑 4室2厅 570万,金叶茗苑  | 4室2厅 | 125.72平米 | 南 | 精装 | 有电梯,高楼层(共14层)2002年建板楼  -  翻身,4人关注 / 共0次带看 / 17天以前发布,570万,单价45339元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101154453.html
清爽新式装修 莲花山景观 中空客厅 红本在手,黄埔雅苑四期  | 4室2厅 | 161.21平米 | 西北 | 精装 | 有电梯,中楼层(共28层)2003年建塔楼  -  莲花,24人关注 / 共19次带看 / 1个月以前发布,1280万,单价79400元/平米,距离2号线(蛇口线)莲花西站809米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101131384.html
龙岗区 御城高楼层正规复式四房三卫 美丽的房子,信义御城豪园  | 4室2厅 | 89.87平米 | 南 | 精装,高楼层(共32层)2015年建板塔结合  -  横岗,87人关注 / 共27次带看 / 1个月以前发布,499万,单价55525元/平米,距离3号线(龙岗线)横岗站743米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101117348.html
桂芳园八期经典小复式，精装保养好，业主诚心出售。,桂芳园八期  | 2室1厅 | 54.52平米 | 东南 | 精装 | 有电梯,高楼层(共12层)2006年建板塔结合  -  布吉大芬,174人关注 / 共17次带看 / 1个月以前发布,255万,单价46772元/平米,距离3号线(龙岗线)大芬站786米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101092819.html
福田cocopark中海华庭 满五年唯一红本在手 业主诚信卖,中海华庭  | 3室2厅 | 106.41平米 | 北 | 精装 | 有电梯,中楼层(共28层)2000年建板塔结合  -  福田中心,19人关注 / 共0次带看 / 16天以前发布,948万,单价89090元/平米,距离1号线(罗宝线）购物公园站162米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101155270.html
金地海景花园 4室2厅 820万,金地海景花园  | 4室2厅 | 136.56平米 | 南 | 简装,中楼层(共6层)2000年建板塔结合  -  上下沙,5人关注 / 共0次带看 / 23天以前发布,820万,单价60047元/平米,距离7号线沙尾站774米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101144543.html
百仕达商圈精装4房 单价4.5万还赠送一个车位 罕有放卖,万事达名苑  | 4室2厅 | 175.66平米 | 南 | 精装 | 有电梯,低楼层(共14层)1999年建板塔结合  -  百仕达,23人关注 / 共26次带看 / 1个月以前发布,810万,单价46112元/平米,距离5号线(环中线)太安站482米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101085758.html
佳兆业香瑞园，品牌物业，地铁口深云站，三面采光。,佳兆业香瑞园二期  | 2室1厅 | 83.77平米 | 南 | 其他 | 有电梯,中楼层(共12层)2008年建板楼  -  西丽,22人关注 / 共41次带看 / 5个月以前发布,580万,单价69238元/平米,距离7号线深云站804米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100889308.html
红本在手低税费，电梯房朝南，位置安静,中海日辉台  | 3室2厅 | 92.73平米 | 南 | 简装 | 有电梯,中楼层(共11层)2005年建板塔结合  -  坂田,2人关注 / 共0次带看 / 8天以前发布,450万,单价48528元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101166967.html
海悦华城 3室1厅 600万,海悦华城  | 3室1厅 | 104.38平米 | 东北 | 精装,高楼层(共35层)2000年建板塔结合  -  皇岗,1人关注 / 共0次带看 / 9天以前发布,600万,单价57483元/平米,距离4号线(龙华线)福田口岸站265米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101165744.html
海航城标准三房 朝南 毛坯房 地铁口价格优 税费少,深圳海航城  | 3室1厅 | 89.91平米 | 南 | 毛坯,高楼层(共33层)2016年建板塔结合  -  中心城东,1人关注 / 共0次带看 / 3个月以前发布,355万,单价39484元/平米,距离3号线(龙岗线)南联站428米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101017209.html
宝安灵芝地铁电梯两房，70年产权住宅，满五红本,白金酒店公寓  | 2室1厅 | 37.32平米 | 西南 | 简装 | 有电梯,高楼层(共32层)2005年建板塔结合  -  新安,13人关注 / 共22次带看 / 19天以前发布,210万,单价56271元/平米,距离5号线(环中线)灵芝站792米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101152415.html
龙岗生态居住社区2房低价格 满五红本税费少 看房方便,振业峦山谷  | 2室1厅 | 56.37平米 | 南 | 简装 | 有电梯,中楼层(共33层)2009年建塔楼  -  龙岗宝荷,19人关注 / 共22次带看 / 22天以前发布,199万,单价35303元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101146782.html
绿景花园二期 1室1厅 308万,绿景花园二期  | 1室1厅 | 46.5平米 | 西北 | 其他 | 有电梯,高楼层(共29层)2005年建板塔结合  -  新洲,5人关注 / 共29次带看 / 22天以前发布,308万,单价66237元/平米,距离7号线沙尾站225米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101147401.html
万科城一期情景洋房三楼 带露台 业主诚售看房方便,万科城一期  | 3室2厅 | 97.77平米 | 南 | 简装 | 无电梯,中楼层(共6层)2004年建板塔结合  -  坂田,50人关注 / 共68次带看 / 6个月以前发布,566万,单价57891元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100863380.html
万科城电梯2房，拓展双层入户花园，观小区园景，亮堂,万科城一期  | 2室2厅 | 75.07平米 | 东北 | 其他 | 有电梯,高楼层(共11层)2004年建板塔结合  -  坂田,75人关注 / 共58次带看 / 3个月以前发布,406万,单价54083元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101017871.html
飞行员公寓三房，三阳台，东南向，可改四房，安静,深航飞行员公寓  | 3室2厅 | 112.36平米 | 东南 | 其他 | 有电梯,低楼层(共29层)2001年建板塔结合  -  南山中心,14人关注 / 共49次带看 / 3个月以前发布,635万,单价56515元/平米,距离11号线南山站611米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100994241.html
精装一房一厅，业主诚心出售，双地铁口物业,碧海富通城三期  | 1室1厅 | 40.41平米 | 东北 | 精装,低楼层(共24层)2007年建塔楼  -  碧海,39人关注 / 共11次带看 / 5个月以前发布,205万,单价50731元/平米,距离11号线碧海湾站1191米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100918538.html
畅想花园式小区生活端头两房厅出大阳台看小区花园,金地名津  | 2室2厅 | 54.33平米 | 北 | 简装 | 有电梯,中楼层(共32层)2007年建板塔结合  -  皇岗,201人关注 / 共38次带看 / 5个月以前发布,312万,单价57427元/平米,距离4号线(龙华线)福田口岸站439米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100907130.html
碧海蓝天此房满五年红本在手无增值税费用少,碧海蓝天名苑  | 3室2厅 | 87.23平米 | 东南 | 其他,中楼层(共32层)2002年建板塔结合  -  沙头角,10人关注 / 共12次带看 / 28天以前发布,410万,单价47003元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101137147.html
深业双地铁物业 送60平方平台花园 两梯两户对流通透,深业新岸线一期  | 3室2厅 | 120.67平米 | 东南 | 精装 | 有电梯,低楼层(共17层)2005年建塔楼  -  宝安中心,12人关注 / 共10次带看 / 21天以前发布,868万,单价71932元/平米,距离11号线宝安站621米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101148079.html
红树绿洲 2室1厅 370万,红树绿洲  | 2室1厅 | 58.4平米 | 南 | 其他,中楼层(共28层)2010年建板塔结合  -  福田保税区,31人关注 / 共7次带看 / 2个月以前发布,370万,单价63357元/平米,距离3号线(龙岗线)益田站1176米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101076247.html
万科四季花城一期 3室2厅 440万,万科四季花城一期  | 3室2厅 | 96.98平米 | 东 | 其他,高楼层(共6层)2000年建板楼  -  坂田,11人关注 / 共6次带看 / 3个月以前发布,440万,单价45371元/平米,距离5号线(环中线)五和站442米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100988045.html
高楼层朝东看花园，满二年，红本,中泰燕南名庭  | 1室1厅 | 44.66平米 | 东 | 简装,高楼层(共19层)2006年建板塔结合  -  华强北,13人关注 / 共24次带看 / 2个月以前发布,410万,单价91805元/平米,距离2号线(蛇口线)燕南站102米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101083845.html
龙华花半里花园 3室2厅 370万,龙华花半里花园  | 3室2厅 | 79.38平米 | 东南 | 精装,中楼层(共33层)2012年建板塔结合  -  龙华中心,24人关注 / 共11次带看 / 2个月以前发布,370万,单价46612元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101059702.html
逸湖居中间层正出阳台的三房现在出来了有需要的可以看,万科城四期  | 3室2厅 | 90.97平米 | 南 | 其他,中楼层(共27层)2008年建板塔结合  -  坂田,28人关注 / 共7次带看 / 2个月以前发布,480万,单价52765元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101048502.html
东南、看园景三房，业主诚心出售,皇御苑二期  | 3室1厅 | 86.36平米 | 东南 | 简装 | 有电梯,低楼层(共28层)2003年建板塔结合  -  皇岗,29人关注 / 共5次带看 / 7个月以前发布,545万,单价63108元/平米,距离7号线皇岗口岸站964米 | 房本满两年,https://sz.lianjia.com/ershoufang/105100798002.html
万科红三期朝南两房 业主诚心出售,万科红三期  | 2室1厅 | 67.87平米 | 南 | 其他,高楼层(共28层)2014年建板塔结合  -  布吉站,79人关注 / 共8次带看 / 7个月以前发布,240万,单价35362元/平米,距离5号线(环中线)百鸽笼站528米 | 房本满两年,https://sz.lianjia.com/ershoufang/105100809400.html
六期一手业主满五红本佳兆业物业700米地铁口 正规两房,桂芳园六期  | 2室1厅 | 73.45平米 | 东南 | 简装,低楼层(共21层)2005年建板塔结合  -  布吉大芬,15人关注 / 共5次带看 / 一年前发布,320万,单价43568元/平米,距离3号线(龙岗线)大芬站1059米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100008551.html
龙城国际大户型单本证，4房2卫，满五年红本在手,龙城国际  | 4室2厅 | 147.01平米 | 南 | 其他 | 有电梯,高楼层(共18层)2007年建板塔结合  -  中心城南,8人关注 / 共15次带看 / 29天以前发布,700万,单价47616元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101134946.html
赠送入户，精装朝南，看城市景观  诚售,中森双子座公馆  | 3室2厅 | 70.73平米 | 东南 | 其他 | 有电梯,中楼层(共24层)2012年建塔楼  -  大运新城,12人关注 / 共10次带看 / 3个月以前发布,465万,单价65743元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101031412.html
【我是单证】三湘海尚泳池+人才公园景观 标准南北四房,三湘海尚花园  | 4室1厅 | 207.74平米 | 南 北 | 毛坯,低楼层(共31层)2011年建板楼  -  深圳湾,17人关注 / 共24次带看 / 1个月以前发布,2850万,单价137191元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101126877.html
恒大国香山精装02户型 满两年 中间楼栋 自住保养好,恒大国香山  | 3室1厅 | 87.79平米 | 东南 | 精装 | 有电梯,低楼层(共41层)2015年建板塔结合  -  布吉南岭,4人关注 / 共9次带看 / 2个月以前发布,400万,单价45564元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101032922.html
两年不遇到的这种户型，南北通透双阳台三房两卫,警备区安居苑  | 3室2厅 | 119.6平米 | 南 北 | 其他 | 有电梯,高楼层(共25层)2004年建板塔结合  -  莲花,9人关注 / 共12次带看 / 20天以前发布,920万,单价76924元/平米,距离4号线(龙华线)莲花北站37米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101149853.html
雍翠华府舒适居家2房 花园式小区 近地铁 小区安静,雍翠华府  | 2室1厅 | 68.06平米 | 东 | 其他 | 有电梯,中楼层(共35层)2004年建板塔结合  -  布心,6人关注 / 共10次带看 / 6个月以前发布,368万,单价54070元/平米,距离3号线(龙岗线)水贝站982米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100864905.html
笋盘  笋盘 笋盘 东南朝向看花园  客厅出阳台 满五年,御景湾  | 3室1厅 | 114.26平米 | 东南 | 简装,低楼层(共24层)2004年建板塔结合  -  宝安中心,27人关注 / 共8次带看 / 3个月以前发布,700万,单价61264元/平米,距离1号线(罗宝线）宝体站957米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101000828.html
满五年唯一 红本在手  花园中间楼层 安静,百合山庄  | 3室1厅 | 88.67平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)1999年建板塔结合  -  布吉关,7人关注 / 共16次带看 / 12天以前发布,380万,单价42856元/平米,距离3号线(龙岗线)布吉站895米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101161839.html
公园大地正规81平三房   总价低  看房方便,公园大地五期  | 3室2厅 | 81.2平米 | 东北 | 精装 | 有电梯,中楼层(共19层)2009年建板塔结合  -  中心城南,16人关注 / 共48次带看 / 6个月以前发布,460万,单价56651元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100869181.html
"灵芝公园,地铁口物业,中洲MALL商场，满五且唯一。",中洲华府  | 3室1厅 | 88.48平米 | 南 | 精装 | 有电梯,低楼层(共31层)2013年建板塔结合  -  新安,32人关注 / 共16次带看 / 1个月以前发布,720万,单价81375元/平米,距离5号线(环中线)灵芝站411米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101092209.html
水岸新都复式房  满两年南朝向,佳兆业水岸新都  | 4室1厅 | 118.19平米 | 南 | 其他 | 有电梯,中楼层(共18层)2007年建塔楼  -  中心城东,65人关注 / 共8次带看 / 8个月以前发布,430万,单价36383元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100773389.html
云景豪园 3室1厅 545万,云景豪园  | 3室1厅 | 120.4平米 | 西南 | 简装 | 有电梯,高楼层(共29层)2002年建板塔结合  -  春风路,17人关注 / 共51次带看 / 7个月以前发布,545万,单价45266元/平米,距离9号线向西村站170米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100796964.html
百合山庄 3室1厅 330万,百合山庄  | 3室1厅 | 80.39平米 | 南 | 简装 | 有电梯,低楼层(共15层)2001年建板塔结合  -  布吉关,3人关注 / 共17次带看 / 1个月以前发布,330万,单价41050元/平米,距离3号线(龙岗线)布吉站1062米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101101246.html
白石洲 中海深圳湾畔花园 满5年 钥匙在店  临近地铁,中海深圳湾畔花园  | 2室2厅 | 120.46平米 | 东南 | 简装 | 有电梯,中楼层(共32层)2003年建塔楼  -  白石洲,12人关注 / 共68次带看 / 一年前发布,818万,单价67907元/平米,距离1号线(罗宝线）白石洲站324米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100405386.html
都市名园 万象城边 双地铁物业 满五年唯一 红本,都市名园  | 3室1厅 | 107.16平米 | 东南 | 其他 | 有电梯,中楼层(共32层)2000年建板塔结合  -  万象城,25人关注 / 共29次带看 / 4个月以前发布,615万,单价57391元/平米,距离9号线鹿丹村站422米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100950362.html
精致清新三居室，纯地铁口物业，生活配套一应俱全,金庸阁一期  | 3室2厅 | 74.18平米 | 东北 | 精装,中楼层(共7层)1999年建板塔结合  -  龙华中心,12人关注 / 共15次带看 / 12天以前发布,335万,单价45161元/平米,距离4号线(龙华线)龙华站324米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101161358.html
高楼层 东南向  看花园 三房,满京华喜悦里  | 3室2厅 | 81.48平米 | 东南 | 其他 | 有电梯,中楼层(共31层)2013年建板塔结合  -  中心城东,35人关注 / 共27次带看 / 6个月以前发布,350万,单价42956元/平米,距离3号线(龙岗线)南联站188米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100881371.html
世纪广场 南山区 两室一厅 340万,世纪广场  | 2室1厅 | 69.63平米 | 东北 | 简装 | 有电梯,高楼层(共16层)1998年建板塔结合  -  南山中心,127人关注 / 共59次带看 / 一年前发布,340万,单价48830元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100392788.html
海珑华苑 此户型半年出一套 满五唯一红本在手螺岭没用,海珑华苑  | 2室2厅 | 77.14平米 | 南 北 | 精装,中楼层(共34层)2001年建板塔结合  -  螺岭,37人关注 / 共21次带看 / 1个月以前发布,430万,单价55743元/平米,距离9号线文锦站614米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101124144.html
西南看花园，安静舒适，满五年业主诚意出售,合正汇一城  | 3室2厅 | 85.75平米 | 西南 | 简装 | 有电梯,低楼层(共31层)2012年建板塔结合  -  西乡,7人关注 / 共16次带看 / 1个月以前发布,580万,单价67639元/平米,距离1号线(罗宝线）西乡站392米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101117456.html
招商观园 5室2厅 680万,招商观园  | 5室2厅 | 163.61平米 | 南 北 | 毛坯 | 有电梯,高楼层(共18层)2012年建板塔结合  -  观澜,5人关注 / 共7次带看 / 1个月以前发布,680万,单价41563元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101098801.html
福田高铁站莲花山地铁口 东景花园南向大三房 双阳台,东景花园  | 3室2厅 | 105.7平米 | 西南 | 精装 | 有电梯,中楼层(共26层)1995年建板塔结合  -  景田,96人关注 / 共17次带看 / 1个月以前发布,550万,单价52035元/平米,距离2号线(蛇口线)莲花西站702米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101110030.html
蔚蓝海岸一期，经典3房，业主诚意出售,蔚蓝海岸1期  | 3室1厅 | 79.23平米 | 东北 | 精装 | 有电梯,中楼层(共18层)2000年建板塔结合  -  后海,10人关注 / 共21次带看 / 2个月以前发布,720万,单价90875元/平米,距离2号线(蛇口线)登良站638米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101039771.html
招商依山郡超大环形阳台，大5房南北通透,招商依山郡  | 5室2厅 | 135.24平米 | 南 | 精装 | 有电梯,低楼层(共10层)2007年建板塔结合  -  中心城北,57人关注 / 共23次带看 / 8个月以前发布,600万,单价44366元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100743149.html
壹方城、地铁1、5号线交汇，中间楼层，手快有手慢无,天悦龙庭一期  | 3室2厅 | 126.75平米 | 南 北 | 简装 | 有电梯,中楼层(共28层)2005年建塔楼  -  宝安中心,3人关注 / 共2次带看 / 6天以前发布,950万,单价74951元/平米,距离1号线(罗宝线）宝安中心站381米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101169181.html
可园顶楼复式71+71平方，使用率高，装修清爽。,佳兆业可园一期  | 4室2厅 | 71.01平米 | 西南 北 东北 | 其他 | 有电梯,高楼层(共16层)2005年建板塔结合  -  布吉南岭,7人关注 / 共1次带看 / 6天以前发布,560万,单价78863元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101169849.html
第五大道高发西岸花园 4房 业主诚心出售,第五大道高发西岸花园一期  | 4室1厅 | 121.14平米 | 东南 | 精装 | 有电梯,低楼层(共29层)2007年建板塔结合  -  宝安中心,22人关注 / 共10次带看 / 2个月以前发布,930万,单价76771元/平米,距离11号线宝安站294米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101041915.html
金海湾花园中高层海景房，满五唯一，业主诚心出售,金海湾花园  | 3室2厅 | 127.63平米 | 东南 | 精装 | 有电梯,中楼层(共26层)2001年建板塔结合  -  上下沙,37人关注 / 共16次带看 / 1个月以前发布,870万,单价68166元/平米,距离7号线上沙站906米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101088071.html
振业城精装大平层 南北通透 拎包入住 满五唯一 税费少,振业城  | 4室2厅 | 224.72平米 | 南 北 | 精装 | 有电梯,低楼层(共23层)2010年建板塔结合  -  横岗,66人关注 / 共15次带看 / 7个月以前发布,768万,单价34176元/平米,距离3号线(龙岗线)六约站690米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100818278.html
情景一楼带大院子跟地下室，满五唯一红本，保养的很好,万科城二期  | 3室2厅 | 127.97平米 | 南 | 精装 | 无电梯,低楼层(共6层)2004年建板塔结合  -  坂田,16人关注 / 共12次带看 / 3个月以前发布,750万,单价58608元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100994634.html
金地海景通透四房 跃式房 小高层使用面积大 满五少税,金地海景花园  | 4室2厅 | 173.21平米 | 南 | 精装 | 有电梯,中楼层(共11层)2000年建板塔结合  -  上下沙,38人关注 / 共13次带看 / 一年前发布,1120万,单价64662元/平米,距离7号线沙尾站852米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100530464.html
三层复式 带平台花园 安静4房,景新花园  | 4室2厅 | 144.87平米 | 西北 | 精装 | 有电梯,高楼层(共29层)1997年建塔楼  -  景田,138人关注 / 共17次带看 / 9个月以前发布,900万,单价62125元/平米,距离2号线(蛇口线)景田站392米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100676670.html
仁恒峦山美地 精装五房 户型方正 采光好 满两年税费少,仁恒峦山美地  | 5室2厅 | 89.67平米 | 东南 | 其他,低楼层(共32层)2014年建板塔结合  -  龙岗宝荷,6人关注 / 共2次带看 / 6天以前发布,388万,单价43270元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101169270.html
精装大四房、满五唯一、业主诚心急卖！带私家车位,弘雅花园雅豪轩三期  | 4室2厅 | 137.73平米 | 东南 | 精装 | 有电梯,高楼层(共12层)2000年建板塔结合  -  新安,16人关注 / 共14次带看 / 1个月以前发布,670万,单价48646元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101102927.html
百仕达红树西岸  朝南三房  看一线全海景 满五唯一,百仕达红树西岸  | 3室1厅 | 145.02平米 | 南 | 精装 | 有电梯,低楼层(共31层)2006年建塔楼  -  红树湾,29人关注 / 共13次带看 / 1个月以前发布,1950万,单价134465元/平米,距离2号线(蛇口线)红树湾站891米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101117762.html
